TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
5;23;False;7;True;1.659;Monster growl;Negative;2;0
5;23;False;7;True;0.0;Skrivemaskine;Neutral;1;-5
5;23;False;7;True;12.64;Level complete;Positive;6;1
5;23;False;7;True;3.833;Girl Scream;Negative;5;2
5;23;False;7;True;6.516;Kuglepen;Neutral;1;-3
5;23;False;7;True;0.587;Harp floursih;Positive;1;0
5;23;False;7;True;8.728;Weirdo scream;Negative;8;2
5;23;False;7;True;2.500;HipHop beat;Neutral;6;-5
5;23;False;7;True;1.613;Uprise;Positive;5;-1
5;23;False;7;True;0.836;Man scream;Negative;6;-4
5;23;False;7;True;1.938;Chatter;Neutral;8;-4
5;23;False;7;True;2.083;Announcement;Positive;8;5
5;23;False;7;True;21.32;Glass Breaking;Negative;7;-4
5;23;False;7;True;1.767;Stikkontakt;Neutral;2;5
5;23;False;7;True;2.165;applaus;Positive;6;1
