Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Neutral
FamilyStore;Positive
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Negative
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Neutral
hundehvalp;Positive
kuglepen;Neutral
magisk fe;Positive
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Neutral
stikkontakt;Neutral
Tearing;Neutral
TuborgClassic;Neutral
Uprise;Positive
WeirdoScream;Negative
